e,n,u
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455045022674,-2101.678024733956,-0.34940762385178914
109.29455041820403,-2101.6680248761045,-0.349354308625891
